Date,SPY,VUG,VTV,SPHQ,SPHD,IYW,VB,MTUM,SCHO,TLT,HYG,LQD,IEO,IAU,VNQ,VIXY
2010-01-04,86.58074951171875,46.092864990234375,33.41022872924805,8.94127082824707,,13.041437149047852,47.42347717285156,,,60.31741714477539,38.279579162597656,62.333255767822266,43.253692626953125,21.97800064086914,25.190031051635742,
2010-01-05,86.80994415283203,46.21247482299805,33.520347595214844,8.996417045593262,,13.021366119384766,47.56912612915039,,,60.70694351196289,38.461185455322266,62.63093948364258,43.71670913696289,21.95400047302246,25.16175651550293,
2010-01-06,86.87104797363281,46.22957229614258,33.63044738769531,8.980660438537598,,12.929947853088379,47.60148620605469,,,59.894287109375,38.56064987182617,62.44639587402344,44.048545837402344,22.326000213623047,25.11652183532715,
2010-01-07,87.23775482177734,46.29790496826172,33.81624221801758,8.988537788391113,,12.880895614624023,47.828086853027344,,,59.99505615234375,38.7163200378418,62.5237922668457,43.77845001220703,22.18199920654297,25.3879337310791,
2010-01-08,87.52806854248047,46.579856872558594,33.85065841674805,9.004293441772461,,12.978996276855469,48.18416976928711,,,59.96815872192383,38.77682876586914,62.66070556640625,44.048545837402344,22.290000915527344,25.201332092285156,
2010-01-11,87.65030670166016,46.53713607788086,33.99517059326172,8.996417045593262,,12.916568756103516,48.02232360839844,,,59.63912582397461,38.74225997924805,62.72621154785156,43.54693603515625,22.597999572753906,25.34834861755371,
2010-01-12,86.83285522460938,46.067230224609375,33.65108108520508,8.886127471923828,,12.760492324829102,47.43153762817383,,,60.65995407104492,38.54332733154297,62.845272064208984,42.62862777709961,22.11199951171875,24.92427635192871,
2010-01-13,87.56626892089844,46.494415283203125,33.95386505126953,8.980660438537598,,12.87866497039795,48.02232360839844,,,59.95473098754883,38.629817962646484,62.583316802978516,43.11479568481445,22.326000213623047,25.42751121520996,
2010-01-14,87.80313110351562,46.579856872558594,34.01581954956055,8.957030296325684,,12.976767539978027,48.15988540649414,,,60.79427719116211,38.67305374145508,62.809513092041016,43.384891510009766,22.426000595092773,25.404891967773438,
2010-01-15,86.81758117675781,46.07577896118164,33.63044738769531,8.838858604431152,,12.800627708435059,47.50437545776367,,,61.17041015625,38.517417907714844,62.785743713378906,42.89869689941406,22.194000244140625,25.212650299072266,
2010-01-19,87.90240478515625,46.66529083251953,34.0639762878418,8.972782135009766,,12.994609832763672,48.273197174072266,,,60.9957389831543,38.534690856933594,62.83927536010742,43.269126892089844,22.333999633789062,25.727191925048828,
2010-01-20,87.00855255126953,46.10997009277344,33.79560852050781,8.894003868103027,,12.80508804321289,47.730979919433594,,,61.613616943359375,38.478492736816406,62.79764175415039,42.698062896728516,21.802000045776367,25.438814163208008,
2010-01-21,85.33549499511719,45.40083694458008,33.073036193847656,8.736448287963867,,12.677995681762695,46.94599151611328,,,61.8957405090332,37.87746810913086,62.964324951171875,42.07299041748047,21.492000579833984,24.70941162109375,
2010-01-22,83.43318939208984,44.247440338134766,32.41926956176758,8.571015357971191,,12.185233116149902,45.96675491333008,,,61.788230895996094,37.5185661315918,62.86911392211914,41.247276306152344,21.444000244140625,24.087440490722656,
2010-01-25,83.86102294921875,44.46102523803711,32.58442306518555,8.547383308410645,,12.278878211975098,46.08815383911133,,,61.50616455078125,37.57478713989258,62.86311721801758,41.756614685058594,21.511999130249023,24.257064819335938,
2010-01-26,83.50957489013672,44.3926887512207,32.39862823486328,8.531623840332031,,12.263272285461426,45.77253341674805,,,61.5263557434082,37.62232208251953,62.69643020629883,41.20869064331055,21.525999069213867,24.030900955200195,
2010-01-27,83.90682220458984,44.59773635864258,32.52938461303711,8.515873908996582,,12.339078903198242,46.11243438720703,,,61.492740631103516,37.635318756103516,62.47020721435547,41.03120040893555,21.32200050354004,24.24576187133789,
2010-01-28,82.9442367553711,43.880062103271484,32.28164291381836,8.468602180480957,,11.995705604553223,45.3679084777832,,,61.459144592285156,37.47534942626953,62.38094711303711,40.77654266357422,21.305999755859375,24.036542892456055,
2010-01-29,82.04280090332031,43.247833251953125,32.05454635620117,8.38194751739502,,11.703618049621582,44.8499755859375,,,61.99647521972656,37.285091400146484,62.77978515625,40.08201217651367,21.20400047302246,23.900846481323242,
2010-02-01,83.3185806274414,43.92278289794922,32.4812126159668,8.444972038269043,,11.888684272766113,45.52976608276367,,,61.43367385864258,37.46506118774414,62.499942779541016,41.401611328125,21.68000030517578,24.33622169494629,
2010-02-02,84.32701110839844,44.367069244384766,32.99043273925781,8.555259704589844,,11.993478775024414,46.15290069580078,,,61.608890533447266,37.57831573486328,62.69728469848633,42.3276481628418,21.836000442504883,24.669837951660156,
2010-02-03,83.90682220458984,44.3072509765625,32.728939056396484,8.484357833862305,,12.038074493408203,45.821083068847656,,,60.89445114135742,37.770057678222656,62.63148498535156,41.91865539550781,21.743999481201172,24.268367767333984,
2010-02-04,81.31695556640625,42.90609359741211,31.689830780029297,8.208638191223145,,11.696930885314941,44.251102447509766,,,61.858272552490234,37.23411178588867,62.62552261352539,39.796478271484375,20.889999389648438,23.369340896606445,
2010-02-05,81.48507690429688,43.05133056640625,31.717348098754883,8.145613670349121,,11.826250076293945,44.33202362060547,,,61.99307632446289,37.016231536865234,62.43423080444336,39.811912536621094,20.92799949645996,23.7990665435791,
2010-02-08,80.89678192138672,42.82920455932617,31.41457176208496,8.137737274169922,,11.763823509216309,43.95167541503906,,,62.07395553588867,36.85501480102539,62.49401092529297,39.503231048583984,20.81999969482422,23.27886199951172,
